alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,40,100.0,2.128795,2.083433,134.38
2,25x25,45,99.0,4.261082,7.184865,355.253
2,25x25,50,100.0,1.085043,4.664278,132.39
