[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12,35,100.0,0.002269,0.000722,1.1
2,12x12,40,100.0,0.001752,0.000577,1.06
2,12x12,45,100.0,0.001144,0.000418,1.01
2,12x12,50,100.0,0.000623,0.000374,1
2,12x12,55,100.0,0.000345,0.000386,1
2,12x12,60,100.0,0.000214,0.000108,1
2,12x12,65,100.0,0.000176,6.6e-05,1
2,12x12,70,100.0,0.00016,0.000107,1
2,12x12,75,100.0,0.00016,7.8e-05,1
2,12x12,80,100.0,0.000147,4.1e-05,1
2,12x12,85,100.0,0.000143,4.8e-05,1
2,12x12,90,100.0,0.000137,2.8e-05,1
2,12x12,95,100.0,0.000148,5.2e-05,1

