[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12,35,100.0,0.002049,0.000574,1.08
2,12x12,40,100.0,0.00164,0.00036,1.05
2,12x12,45,100.0,0.001056,0.000332,1.01
2,12x12,50,100.0,0.00056,0.000276,1
2,12x12,55,100.0,0.0003,0.000195,1.01
2,12x12,60,100.0,0.000205,8.4e-05,1
2,12x12,65,100.0,0.00017,4.8e-05,1
2,12x12,70,100.0,0.000157,4.4e-05,1
2,12x12,75,100.0,0.000142,2e-05,1
2,12x12,80,100.0,0.00015,5e-05,1
2,12x12,85,100.0,0.000135,1.3e-05,1
2,12x12,90,100.0,0.000138,3.8e-05,1
2,12x12,95,100.0,0.000141,2.1e-05,1

