instance,rep,success,time,cycles
inst25x25_40_50.txt,17,1,12.6199,460
inst25x25_40_50.txt,18,1,2.69369,108
inst25x25_40_50.txt,19,1,14.8183,529
inst25x25_40_50.txt,20,1,3.04464,124
inst25x25_40_50.txt,21,1,2.31775,94
inst25x25_40_50.txt,22,1,8.92899,334
inst25x25_40_50.txt,23,1,1.48253,61
inst25x25_40_50.txt,24,1,9.12387,333
inst25x25_40_50.txt,25,1,3.62017,145
inst25x25_40_50.txt,26,1,9.14635,338
inst25x25_40_50.txt,27,1,6.282,240
inst25x25_40_50.txt,28,1,21.2582,753
inst25x25_40_50.txt,29,1,29.7359,1071
inst25x25_40_50.txt,30,1,8.93553,321
inst25x25_40_50.txt,31,1,13.2035,486
inst25x25_40_50.txt,32,1,31.8188,1141
inst25x25_40_50.txt,33,1,3.36855,135
inst25x25_40_50.txt,34,1,2.28805,94
inst25x25_40_50.txt,35,1,2.46908,100
inst25x25_40_50.txt,36,1,27.2464,969
inst25x25_40_50.txt,37,1,6.31603,239
inst25x25_40_50.txt,38,1,1.57043,64
inst25x25_40_50.txt,39,1,9.23313,343
inst25x25_40_50.txt,40,1,2.24761,90
inst25x25_40_50.txt,41,1,2.34664,94
inst25x25_40_50.txt,42,1,1.25757,52
inst25x25_40_50.txt,43,1,10.2658,379
inst25x25_40_50.txt,44,1,10.1702,376
inst25x25_40_50.txt,45,1,10.9335,403
inst25x25_40_50.txt,46,1,7.8814,294
inst25x25_40_50.txt,47,1,7.26969,276
inst25x25_40_50.txt,48,1,4.20352,167
inst25x25_40_50.txt,49,1,10.0059,367
inst25x25_40_50.txt,50,1,1.08048,44
inst25x25_40_50.txt,51,1,3.42188,135
inst25x25_40_50.txt,52,1,21.206,760
inst25x25_40_50.txt,53,1,3.60746,143
inst25x25_40_50.txt,54,1,1.08362,42
inst25x25_40_50.txt,55,1,9.4223,349
inst25x25_40_50.txt,56,1,27.6835,996
inst25x25_40_50.txt,57,1,6.70053,248
inst25x25_40_50.txt,58,1,6.45371,238
inst25x25_40_50.txt,59,1,13.0152,472
inst25x25_40_50.txt,60,1,14.7229,541
inst25x25_40_50.txt,61,1,13.9505,517
inst25x25_40_50.txt,62,1,2.06091,84
inst25x25_40_50.txt,63,1,6.9612,257
inst25x25_40_50.txt,64,1,5.93892,225
inst25x25_40_50.txt,65,1,9.40806,345
inst25x25_40_50.txt,66,1,2.24514,87
inst25x25_40_50.txt,67,1,2.51933,99
inst25x25_40_50.txt,68,1,10.4582,382
inst25x25_40_50.txt,69,1,7.02756,263
inst25x25_40_50.txt,70,1,3.90787,153
inst25x25_40_50.txt,71,1,5.22542,203
inst25x25_40_50.txt,72,1,1.28064,52
inst25x25_40_50.txt,73,1,6.24774,234
inst25x25_40_50.txt,74,1,1.16004,48
inst25x25_40_50.txt,75,1,11.371,420
inst25x25_40_50.txt,76,1,6.43245,247
inst25x25_40_50.txt,77,1,6.51847,244
inst25x25_40_50.txt,78,1,13.9105,511
inst25x25_40_50.txt,79,1,7.97093,293
inst25x25_40_50.txt,80,1,4.44879,168
inst25x25_40_50.txt,81,1,1.58145,59
inst25x25_40_50.txt,82,1,26.6174,951
inst25x25_40_50.txt,83,1,10.2361,387
inst25x25_40_50.txt,84,1,0.966415,40
inst25x25_40_50.txt,85,1,9.36159,350
inst25x25_40_50.txt,86,1,10.6737,392
inst25x25_40_50.txt,87,1,6.60228,251
inst25x25_40_50.txt,88,1,9.94727,362
inst25x25_40_50.txt,89,1,3.27442,129
inst25x25_40_50.txt,90,1,7.86868,295
inst25x25_40_50.txt,91,1,3.52531,142
inst25x25_40_50.txt,92,1,2.73107,112
inst25x25_40_50.txt,93,1,10.2904,377
inst25x25_40_50.txt,94,1,6.01414,227
inst25x25_40_50.txt,95,1,7.6192,284
inst25x25_40_50.txt,96,1,2.78863,116
inst25x25_40_50.txt,97,1,2.69273,108
inst25x25_40_50.txt,98,1,2.62323,105
inst25x25_40_50.txt,99,1,8.72721,325
inst25x25_40_50.txt,100,1,2.69174,109
inst25x25_40_62.txt,1,1,5.93921,232
inst25x25_40_62.txt,2,1,7.25298,280
inst25x25_40_62.txt,3,1,8.39613,320
inst25x25_40_62.txt,4,1,2.7234,115
inst25x25_40_62.txt,5,1,3.61593,149
inst25x25_40_62.txt,6,1,7.11837,275
inst25x25_40_62.txt,7,1,9.03456,344
inst25x25_40_62.txt,8,1,12.8966,481
inst25x25_40_62.txt,9,1,1.32725,55
inst25x25_40_62.txt,10,1,2.51747,106
inst25x25_40_62.txt,11,1,4.4011,175
inst25x25_40_62.txt,12,1,2.46302,98
inst25x25_40_62.txt,13,1,5.75544,226
inst25x25_40_62.txt,14,1,2.48385,103
inst25x25_40_62.txt,15,1,18.3793,682
inst25x25_40_62.txt,16,1,19.5761,717
inst25x25_40_62.txt,17,1,6.57675,254
inst25x25_40_62.txt,18,1,4.17901,167
inst25x25_40_62.txt,19,1,16.7589,620
inst25x25_40_62.txt,20,1,12.6389,474
inst25x25_40_62.txt,21,1,1.6018,67
inst25x25_40_62.txt,22,1,3.98755,161
inst25x25_40_62.txt,23,1,2.11544,90
inst25x25_40_62.txt,24,1,14.9059,557
inst25x25_40_62.txt,25,1,2.32706,95
inst25x25_40_62.txt,26,1,7.67888,291
inst25x25_40_62.txt,27,1,1.52483,64
inst25x25_40_62.txt,28,1,7.84954,305
inst25x25_40_62.txt,29,1,3.68409,151
