param_name,param_value,puzzle_size,alg,alg_name,instances,success_mean,time_mean_mean,time_std_mean,cycles_mean_mean,cycles_std_mean
nAnts,11,16x16,2,CP-DCM-ACO,100,99.95,0.23175,0.37109,17.68145,28.14132
nAnts,3,25x25,2,CP-DCM-ACO,100,97.5,8.34722,10.736,540.19795,717.77708
nAnts,5,25x25,2,CP-DCM-ACO,100,95.83,9.33501,12.61611,363.13251,499.61444
nAnts,7,25x25,2,CP-DCM-ACO,100,93.33,9.67445,13.59038,263.55038,376.76749
nAnts,9,25x25,2,CP-DCM-ACO,100,92.07,9.96038,14.06144,212.71941,305.23805
nAnts,11,25x25,2,CP-DCM-ACO,100,91.14,10.3743,14.98373,179.61993,262.92135
numACS,2,9x9,2,CP-DCM-ACO,100,100,0.06789,0.06352,107.9283,101.7496
numACS,3,9x9,2,CP-DCM-ACO,100,100,0.06818,0.06268,80.6943,74.63802
numACS,4,9x9,2,CP-DCM-ACO,100,100,0.06966,0.06443,66.0049,61.33422
numACS,5,9x9,2,CP-DCM-ACO,100,100,0.0706,0.06525,55.7289,51.85734
numACS,6,9x9,2,CP-DCM-ACO,100,100,0.07108,0.06607,48.038,44.91114
numACS,2,16x16,2,CP-DCM-ACO,100,100,0.15035,0.22763,41.0271,62.3527
numACS,3,16x16,2,CP-DCM-ACO,100,100,0.1157,0.17105,24.2511,35.94969
numACS,4,16x16,2,CP-DCM-ACO,100,100,0.10202,0.16089,17.1262,26.96542
numACS,5,16x16,2,CP-DCM-ACO,100,100,0.09445,0.14368,13.2008,19.92027
numACS,6,16x16,2,CP-DCM-ACO,100,100,0.0818,0.11224,9.853,13.33043
numACS,2,25x25,2,CP-DCM-ACO,100,97.5,8.34722,10.736,540.19795,717.77708
numACS,3,25x25,2,CP-DCM-ACO,100,98.37,7.31433,8.54137,339.36727,408.43764
numACS,4,25x25,2,CP-DCM-ACO,100,98.8,6.79498,7.49759,244.93469,279.26742
