alg,instance,success_%,time_mean,time_std,cycles_mean
0,aiescargot.txt,100.0,0.010722,0.007477,23.52
0,coly013.txt,100.0,0.026605,0.024326,55.28
0,goldennugget.txt,100.0,0.0205,0.015856,41.24
0,platinumblond.txt,100.0,0.080256,0.080213,167.32
0,reddwarf.txt,100.0,0.022175,0.021387,51.74
0,sabuncu1.txt,100.0,6.5e-05,4.2e-05,1
0,sabuncu10.txt,100.0,6.3e-05,8.4e-05,1
0,sabuncu2.txt,100.0,6.9e-05,4.3e-05,1
0,sabuncu3.txt,100.0,0.000604,0.000271,1.22
0,sabuncu4.txt,100.0,0.000345,0.000116,1.01
0,sabuncu5.txt,100.0,6.5e-05,3.6e-05,1
0,sabuncu6.txt,100.0,0.006451,0.005968,12.85
0,sabuncu7.txt,100.0,0.000601,0.000351,1.22
0,sabuncu8.txt,100.0,0.000387,0.000132,1.09
0,sabuncu9.txt,100.0,0.000792,0.000492,1.55
0,tarx0134.txt,100.0,0.015735,0.012155,29.98
2,aiescargot.txt,100.0,0.017564,0.017799,29.16
2,coly013.txt,100.0,0.041674,0.044935,62.9
2,goldennugget.txt,100.0,0.031997,0.028578,50.07
2,platinumblond.txt,100.0,0.087354,0.082658,139.36
2,reddwarf.txt,100.0,0.022778,0.018803,38.31
2,sabuncu1.txt,100.0,9.6e-05,4.9e-05,1
2,sabuncu10.txt,100.0,8e-05,4.9e-05,1
2,sabuncu2.txt,100.0,9.6e-05,4.1e-05,1
2,sabuncu3.txt,100.0,0.00076,0.000313,1.13
2,sabuncu4.txt,100.0,0.000421,0.000119,1
2,sabuncu5.txt,100.0,9.7e-05,4.6e-05,1
2,sabuncu6.txt,100.0,0.007792,0.00843,12.01
2,sabuncu7.txt,100.0,0.000649,0.000264,1.11
2,sabuncu8.txt,100.0,0.000483,0.000146,1.08
2,sabuncu9.txt,100.0,0.000836,0.000645,1.38
2,tarx0134.txt,100.0,0.016251,0.016749,24.81
