
============================================================
worker start: convThresh=0.4 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: convThresh
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Convergence Threshold (convThresh)

[Config 1/1] convThresh=0.4 on 25x25
  [convThresh=0.4 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 1/100: OK (time=3.6495s)
    Rep 2/100: OK (time=8.3487s)
    Rep 3/100: OK (time=3.2781s)
    Rep 4/100: OK (time=2.3363s)
    Rep 5/100: OK (time=2.5862s)
    Rep 6/100: OK (time=18.7411s)
    Rep 7/100: OK (time=1.4588s)
    Rep 8/100: OK (time=4.0473s)
    Rep 9/100: OK (time=2.3795s)
    Rep 10/100: OK (time=1.3095s)
    Rep 11/100: OK (time=18.7575s)
    Rep 12/100: OK (time=0.7258s)
    Rep 13/100: OK (time=7.5746s)
    Rep 14/100: OK (time=3.6283s)
    Rep 15/100: OK (time=4.6896s)
    Rep 16/100: OK (time=1.3842s)
    Rep 17/100: OK (time=2.3623s)
    Rep 18/100: OK (time=1.1271s)
    Rep 19/100: OK (time=9.4149s)
    Rep 20/100: OK (time=0.2602s)
    Rep 21/100: OK (time=6.2754s)
    Rep 22/100: OK (time=1.7555s)
    Rep 23/100: OK (time=0.9333s)
    Rep 24/100: OK (time=5.0726s)
    Rep 25/100: OK (time=1.2593s)
    Rep 26/100: OK (time=1.4706s)
    Rep 27/100: OK (time=0.1883s)
    Rep 28/100: OK (time=1.9908s)
    Rep 29/100: OK (time=8.2391s)
    Rep 30/100: OK (time=2.7272s)
    Rep 31/100: OK (time=13.9013s)
    Rep 32/100: OK (time=9.9859s)
    Rep 33/100: OK (time=4.7768s)
    Rep 34/100: OK (time=1.6247s)
    Rep 35/100: OK (time=0.9594s)
    Rep 36/100: OK (time=2.2365s)
    Rep 37/100: OK (time=2.1144s)
    Rep 38/100: OK (time=2.1075s)
    Rep 39/100: OK (time=2.2734s)
    Rep 40/100: OK (time=0.9188s)
    Rep 41/100: OK (time=2.0377s)
    Rep 42/100: OK (time=13.0291s)
    Rep 43/100: OK (time=1.3819s)
    Rep 44/100: OK (time=2.1484s)
    Rep 45/100: OK (time=1.5679s)
    Rep 46/100: OK (time=8.6625s)
    Rep 47/100: OK (time=2.0759s)
    Rep 48/100: OK (time=0.3765s)
    Rep 49/100: OK (time=11.9532s)
    Rep 50/100: OK (time=2.1511s)
    Rep 51/100: OK (time=3.5389s)
    Rep 52/100: OK (time=1.5224s)
    Rep 53/100: OK (time=2.6944s)
    Rep 54/100: OK (time=7.3155s)
    Rep 55/100: OK (time=0.9436s)
    Rep 56/100: OK (time=0.5434s)
    Rep 57/100: OK (time=3.2092s)
    Rep 58/100: OK (time=1.2050s)
    Rep 59/100: OK (time=0.6345s)
    Rep 60/100: OK (time=2.1053s)
    Rep 61/100: OK (time=1.0345s)
    Rep 62/100: OK (time=1.4289s)
    Rep 63/100: OK (time=2.1690s)
    Rep 64/100: OK (time=5.3935s)
    Rep 65/100: OK (time=0.7058s)
    Rep 66/100: OK (time=5.1403s)
    Rep 67/100: OK (time=1.1759s)
    Rep 68/100: OK (time=11.9144s)
    Rep 69/100: OK (time=2.3458s)
    Rep 70/100: OK (time=7.6491s)
    Rep 71/100: OK (time=5.5093s)
    Rep 72/100: OK (time=3.8493s)
    Rep 73/100: OK (time=3.7431s)
    Rep 74/100: OK (time=0.5782s)
    Rep 75/100: OK (time=4.6280s)
    Rep 76/100: OK (time=0.4952s)
    Rep 77/100: OK (time=1.3921s)
    Rep 78/100: OK (time=6.0238s)
    Rep 79/100: OK (time=0.5707s)
    Rep 80/100: OK (time=1.7551s)
    Rep 81/100: OK (time=2.7470s)
    Rep 82/100: OK (time=4.8149s)
    Rep 83/100: OK (time=1.5202s)
    Rep 84/100: OK (time=3.0347s)
    Rep 85/100: OK (time=1.3558s)
    Rep 86/100: OK (time=1.4818s)
    Rep 87/100: OK (time=2.4297s)
    Rep 88/100: OK (time=2.6374s)
    Rep 89/100: OK (time=1.3081s)
    Rep 90/100: OK (time=11.4512s)
    Rep 91/100: OK (time=6.8640s)
    Rep 92/100: OK (time=0.7852s)
    Rep 93/100: OK (time=5.3597s)
    Rep 94/100: OK (time=4.0963s)
    Rep 95/100: OK (time=4.3754s)
    Rep 96/100: OK (time=1.0537s)
    Rep 97/100: OK (time=3.1500s)
    Rep 98/100: OK (time=5.0033s)
    Rep 99/100: OK (time=2.5540s)
    Rep 100/100: OK (time=2.1579s)
    => success%=100.0 time_mean=3.736488 cycles_mean=147.35
  [convThresh=0.4 [25x25]] (2/50) inst25x25_40_50.txt 
    Rep 1/100: OK (time=12.1443s)
    Rep 2/100: OK (time=12.4732s)
    Rep 3/100: OK (time=18.9275s)
    Rep 4/100: OK (time=24.1665s)
    Rep 5/100: OK (time=1.2111s)
    Rep 6/100: OK (time=3.5022s)
    Rep 7/100: OK (time=3.1460s)
    Rep 8/100: OK (time=3.2570s)
    Rep 9/100: OK (time=1.9694s)
    Rep 10/100: OK (time=9.9200s)
    Rep 11/100: OK (time=3.5281s)
    Rep 12/100: OK (time=3.9340s)
    Rep 13/100: OK (time=0.8526s)
    Rep 14/100: OK (time=6.7292s)
    Rep 15/100: OK (time=3.4559s)
    Rep 16/100: OK (time=7.2628s)
    Rep 17/100: OK (time=4.2856s)
    Rep 18/100: OK (time=5.2315s)
    Rep 19/100: OK (time=3.5879s)
    Rep 20/100: OK (time=1.3759s)
    Rep 21/100: OK (time=4.6813s)
    Rep 22/100: OK (time=15.0053s)
    Rep 23/100: OK (time=5.4676s)
    Rep 24/100: OK (time=9.6202s)
    Rep 25/100: OK (time=2.7919s)
    Rep 26/100: OK (time=1.3875s)
    Rep 27/100: OK (time=0.9283s)
    Rep 28/100: OK (time=9.0557s)
    Rep 29/100: OK (time=3.3724s)
    Rep 30/100: OK (time=1.6521s)
    Rep 31/100: OK (time=2.2304s)
    Rep 32/100: OK (time=2.0690s)
    Rep 33/100: OK (time=3.7355s)
    Rep 34/100: OK (time=1.3055s)
    Rep 35/100: OK (time=2.2697s)
    Rep 36/100: OK (time=1.1138s)
    Rep 37/100: OK (time=13.7821s)
    Rep 38/100: OK (time=0.7038s)
    Rep 39/100: OK (time=4.9346s)
    Rep 40/100: OK (time=1.4391s)
    Rep 41/100: OK (time=5.7537s)
    Rep 42/100: OK (time=2.7361s)
    Rep 43/100: OK (time=6.5756s)
    Rep 44/100: OK (time=3.0295s)
    Rep 45/100: OK (time=7.5702s)
    Rep 46/100: OK (time=2.9622s)
    Rep 47/100: OK (time=12.2875s)
    Rep 48/100: OK (time=9.4118s)
    Rep 49/100: OK (time=0.6465s)
    Rep 50/100: OK (time=12.2283s)
    Rep 51/100: OK (time=20.0837s)
    Rep 52/100: OK (time=7.5951s)
    Rep 53/100: OK (time=15.1443s)
    Rep 54/100: OK (time=4.5063s)
    Rep 55/100: OK (time=3.3481s)
    Rep 56/100: OK (time=5.3124s)
    Rep 57/100: OK (time=6.5277s)
    Rep 58/100: OK (time=5.3920s)
    Rep 59/100: OK (time=3.3259s)
    Rep 60/100: OK (time=8.5995s)
    Rep 61/100: OK (time=1.3395s)
    Rep 62/100: OK (time=5.5324s)
    Rep 63/100: OK (time=8.5631s)
    Rep 64/100: OK (time=9.9392s)
    Rep 65/100: OK (time=6.5465s)
    Rep 66/100: OK (time=5.4300s)
    Rep 67/100: OK (time=5.7688s)
    Rep 68/100: OK (time=2.4340s)
    Rep 69/100: OK (time=8.9710s)
    Rep 70/100: OK (time=8.4569s)
    Rep 71/100: OK (time=4.6633s)
    Rep 72/100: OK (time=1.7248s)
    Rep 73/100: OK (time=0.5005s)
    Rep 74/100: OK (time=8.9502s)
    Rep 75/100: OK (time=11.7754s)
    Rep 76/100: OK (time=11.7390s)
    Rep 77/100: OK (time=3.8348s)
    Rep 78/100: OK (time=5.1048s)
    Rep 79/100: OK (time=10.2059s)
    Rep 80/100: OK (time=6.8386s)
    Rep 81/100: OK (time=9.0854s)
    Rep 82/100: OK (time=3.3619s)
    Rep 83/100: OK (time=11.1733s)
    Rep 84/100: OK (time=3.8780s)
    Rep 85/100: OK (time=8.3649s)
    Rep 86/100: OK (time=7.3060s)
    Rep 87/100: OK (time=1.7703s)
    Rep 88/100: OK (time=7.4202s)
    Rep 89/100: OK (time=3.9018s)
    Rep 90/100: OK (time=4.9226s)
    Rep 91/100: OK (time=18.7096s)
    Rep 92/100: OK (time=11.0207s)
    Rep 93/100: OK (time=5.3260s)
    Rep 94/100: OK (time=8.9059s)
    Rep 95/100: OK (time=7.1923s)
    Rep 96/100: OK (time=7.0338s)
    Rep 97/100: OK (time=11.8765s)
    Rep 98/100: OK (time=2.5198s)
    Rep 99/100: OK (time=10.9500s)
    Rep 100/100: OK (time=3.8616s)
    => success%=100.0 time_mean=6.384422 cycles_mean=243.52
  [convThresh=0.4 [25x25]] (3/50) inst25x25_40_62.txt 
    Rep 1/100: OK (time=7.4535s)
    Rep 2/100: OK (time=25.8564s)
    Rep 3/100: OK (time=11.0931s)
    Rep 4/100: OK (time=10.5545s)
    Rep 5/100: OK (time=3.9079s)
    Rep 6/100: OK (time=4.7006s)
    Rep 7/100: OK (time=2.2302s)
    Rep 8/100: OK (time=9.7933s)
    Rep 9/100: OK (time=6.3208s)
    Rep 10/100: OK (time=4.1329s)
    Rep 11/100: OK (time=7.3228s)
    Rep 12/100: OK (time=27.9679s)
    Rep 13/100: OK (time=2.4019s)
    Rep 14/100: OK (time=14.5212s)
    Rep 15/100: OK (time=10.3598s)
    Rep 16/100: OK (time=3.6540s)
    Rep 17/100: OK (time=4.9440s)
    Rep 18/100: OK (time=6.0490s)
    Rep 19/100: OK (time=19.9218s)
    Rep 20/100: OK (time=5.7599s)
    Rep 21/100: OK (time=11.4387s)
    Rep 22/100: OK (time=3.0774s)
    Rep 23/100: OK (time=7.7287s)
    Rep 24/100: OK (time=11.8224s)
    Rep 25/100: OK (time=3.9389s)
    Rep 26/100: OK (time=10.8019s)
    Rep 27/100: OK (time=8.6992s)
    Rep 28/100: OK (time=3.0905s)
    Rep 29/100: OK (time=4.7246s)
    Rep 30/100: OK (time=3.9532s)
    Rep 31/100: OK (time=1.7460s)
    Rep 32/100: OK (time=4.1611s)
    Rep 33/100: OK (time=4.4953s)
    Rep 34/100: OK (time=8.3754s)
    Rep 35/100: OK (time=2.0877s)
    Rep 36/100: OK (time=1.5334s)
    Rep 37/100: OK (time=0.4600s)
    Rep 38/100: OK (time=1.7425s)
    Rep 39/100: OK (time=1.3942s)
    Rep 40/100: OK (time=15.0877s)
    Rep 41/100: OK (time=6.0144s)
    Rep 42/100: OK (time=2.5296s)
    Rep 43/100: OK (time=30.8494s)
    Rep 44/100: OK (time=22.8957s)
    Rep 45/100: OK (time=12.3017s)
    Rep 46/100: OK (time=6.7896s)
    Rep 47/100: OK (time=1.4573s)
    Rep 48/100: OK (time=4.0739s)
    Rep 49/100: OK (time=8.4338s)
    Rep 50/100: OK (time=11.5608s)
    Rep 51/100: OK (time=2.3787s)
    Rep 52/100: OK (time=9.3715s)
    Rep 53/100: OK (time=27.7306s)
    Rep 54/100: OK (time=12.5276s)
    Rep 55/100: OK (time=8.2008s)
    Rep 56/100: OK (time=4.2260s)
    Rep 57/100: OK (time=4.5841s)
    Rep 58/100: OK (time=5.0147s)
    Rep 59/100: OK (time=1.4377s)
    Rep 60/100: OK (time=35.9219s)
    Rep 61/100: OK (time=4.6309s)
    Rep 62/100: OK (time=15.3383s)
    Rep 63/100: OK (time=8.4970s)
    Rep 64/100: OK (time=1.6060s)
    Rep 65/100: OK (time=5.3187s)
    Rep 66/100: OK (time=1.1054s)
    Rep 67/100: OK (time=5.9795s)
    Rep 68/100: OK (time=2.5980s)
    Rep 69/100: OK (time=4.9362s)
    Rep 70/100: OK (time=7.2188s)
    Rep 71/100: OK (time=3.5485s)
    Rep 72/100: OK (time=2.2439s)
    Rep 73/100: OK (time=4.0996s)
    Rep 74/100: OK (time=2.0108s)
    Rep 75/100: OK (time=6.6025s)
    Rep 76/100: OK (time=16.5339s)
    Rep 77/100: OK (time=6.4115s)
    Rep 78/100: OK (time=3.9668s)
    Rep 79/100: OK (time=1.7708s)
    Rep 80/100: OK (time=2.1814s)
    Rep 81/100: OK (time=18.5807s)
    Rep 82/100: OK (time=14.5552s)
    Rep 83/100: OK (time=2.1842s)
    Rep 84/100: OK (time=7.8643s)
    Rep 85/100: OK (time=17.5538s)
    Rep 86/100: OK (time=1.0522s)
    Rep 87/100: OK (time=1.4900s)
    Rep 88/100: OK (time=3.4406s)
    Rep 89/100: OK (time=14.5311s)
    Rep 90/100: OK (time=12.4563s)
    Rep 91/100: OK (time=8.4140s)
    Rep 92/100: OK (time=11.0306s)
    Rep 93/100: OK (time=6.5597s)
    Rep 94/100: OK (time=38.1840s)
    Rep 95/100: OK (time=6.9609s)
    Rep 96/100: OK (time=3.3963s)
    Rep 97/100: OK (time=7.2027s)
    Rep 98/100: OK (time=11.4887s)
    Rep 99/100: OK (time=9.4483s)
