
============================================================
worker start: rho=0.5 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: rho
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: rho (Pheromone Persistence) (rho)

[Config 1/1] rho=0.5 on 25x25
  [rho=0.5 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 39/100: OK (time=0.1699s)
    Rep 40/100: OK (time=1.9693s)
    Rep 41/100: OK (time=5.1396s)
    Rep 42/100: OK (time=4.6721s)
    Rep 43/100: OK (time=3.3282s)
    Rep 44/100: OK (time=10.1539s)
    Rep 45/100: OK (time=14.4911s)
    Rep 46/100: OK (time=2.7928s)
    Rep 47/100: OK (time=2.2090s)
    Rep 48/100: OK (time=0.8114s)
    Rep 49/100: OK (time=2.7271s)
    Rep 50/100: OK (time=6.2531s)
    Rep 51/100: OK (time=3.4849s)
    Rep 52/100: OK (time=15.1213s)
    Rep 53/100: OK (time=6.1320s)
    Rep 54/100: OK (time=33.0367s)
    Rep 55/100: OK (time=5.7974s)
    Rep 56/100: OK (time=0.5963s)
    Rep 57/100: OK (time=3.8023s)
    Rep 58/100: OK (time=3.3048s)
    Rep 59/100: OK (time=7.7924s)
    Rep 60/100: OK (time=4.7198s)
    Rep 61/100: OK (time=3.7767s)
    Rep 62/100: OK (time=8.1683s)
    Rep 63/100: OK (time=1.6128s)
    Rep 64/100: OK (time=4.3590s)
    Rep 65/100: OK (time=5.5952s)
    Rep 66/100: OK (time=1.2187s)
    Rep 67/100: OK (time=3.8515s)
    Rep 68/100: OK (time=6.8877s)
    Rep 69/100: OK (time=8.6656s)
    Rep 70/100: OK (time=1.0209s)
    Rep 71/100: OK (time=5.8491s)
    Rep 72/100: OK (time=4.7120s)
    Rep 73/100: OK (time=1.4242s)
    Rep 74/100: OK (time=1.3227s)
    Rep 75/100: OK (time=0.7782s)
    Rep 76/100: OK (time=3.5597s)
    Rep 77/100: OK (time=3.3258s)
    Rep 78/100: OK (time=2.5669s)
    Rep 79/100: OK (time=4.7850s)
    Rep 80/100: OK (time=2.0171s)
    Rep 81/100: OK (time=30.2536s)
    Rep 82/100: OK (time=15.0114s)
    Rep 83/100: OK (time=26.5363s)
    Rep 84/100: OK (time=4.0078s)
    Rep 85/100: OK (time=3.1593s)
    Rep 86/100: OK (time=2.7464s)
    Rep 87/100: OK (time=5.7557s)
    Rep 88/100: OK (time=7.0093s)
