
============================================================
worker start: xi=0.5 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: xi
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: xi (Local Pheromone Update) (xi)

[Config 1/1] xi=0.5 on 25x25
  [xi=0.5 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 39/100: OK (time=21.8443s)
    Rep 40/100: OK (time=2.5643s)
    Rep 41/100: OK (time=14.2921s)
    Rep 42/100: OK (time=3.9153s)
    Rep 43/100: OK (time=11.4976s)
    Rep 44/100: OK (time=2.5305s)
    Rep 45/100: OK (time=7.8627s)
    Rep 46/100: OK (time=12.8930s)
    Rep 47/100: OK (time=7.9785s)
    Rep 48/100: OK (time=7.9593s)
    Rep 49/100: OK (time=7.8153s)
    Rep 50/100: OK (time=0.9469s)
    Rep 51/100: OK (time=9.1397s)
    Rep 52/100: OK (time=1.5978s)
    Rep 53/100: OK (time=3.0793s)
    Rep 54/100: OK (time=10.2678s)
    Rep 55/100: OK (time=8.3491s)
    Rep 56/100: OK (time=4.1150s)
    Rep 57/100: OK (time=5.1831s)
    Rep 58/100: OK (time=2.0242s)
    Rep 59/100: OK (time=6.0779s)
    Rep 60/100: OK (time=3.8428s)
    Rep 61/100: OK (time=5.7192s)
    Rep 62/100: OK (time=9.5260s)
    Rep 63/100: OK (time=3.5888s)
    Rep 64/100: OK (time=1.1728s)
    Rep 65/100: OK (time=1.6238s)
    Rep 66/100: OK (time=9.7540s)
    Rep 67/100: OK (time=12.6079s)
    Rep 68/100: OK (time=7.6177s)
    Rep 69/100: OK (time=16.1819s)
    Rep 70/100: OK (time=2.6763s)
    Rep 71/100: OK (time=8.9842s)
    Rep 72/100: OK (time=29.9572s)
    Rep 73/100: OK (time=4.9192s)
    Rep 74/100: OK (time=0.8870s)
    Rep 75/100: OK (time=2.9140s)
    Rep 76/100: OK (time=0.8726s)
    Rep 77/100: OK (time=0.8417s)
    Rep 78/100: OK (time=4.1329s)
    Rep 79/100: OK (time=5.5100s)
    Rep 80/100: OK (time=7.4252s)
    Rep 81/100: OK (time=12.6170s)
    Rep 82/100: OK (time=23.3694s)
    Rep 83/100: OK (time=15.7391s)
    Rep 84/100: OK (time=4.8773s)
    Rep 85/100: OK (time=14.2190s)
    Rep 86/100: OK (time=5.2748s)
    Rep 87/100: OK (time=1.6911s)
    Rep 88/100: OK (time=3.2022s)
    Rep 89/100: OK (time=24.4388s)
    Rep 90/100: OK (time=8.6225s)
    Rep 91/100: OK (time=12.4013s)
    Rep 92/100: OK (time=5.6071s)
    Rep 93/100: OK (time=5.6338s)
    Rep 94/100: OK (time=1.7484s)
    Rep 95/100: OK (time=3.0888s)
    Rep 96/100: OK (time=2.0144s)
    Rep 97/100: OK (time=6.0055s)
    Rep 98/100: OK (time=1.0387s)
    Rep 99/100: OK (time=9.0146s)
    Rep 100/100: OK (time=9.0284s)
    => success%=100.0 time_mean=7.71199 cycles_mean=277.81
  [xi=0.5 [25x25]] (3/50) inst25x25_40_62.txt 
    Rep 1/100: OK (time=15.2277s)
    Rep 2/100: OK (time=3.5303s)
    Rep 3/100: OK (time=6.4853s)
    Rep 4/100: OK (time=5.8601s)
    Rep 5/100: OK (time=7.3268s)
    Rep 6/100: OK (time=11.6151s)
    Rep 7/100: OK (time=4.4866s)
    Rep 8/100: OK (time=5.6353s)
    Rep 9/100: OK (time=11.4445s)
    Rep 10/100: OK (time=15.7035s)
    Rep 11/100: OK (time=1.1889s)
    Rep 12/100: OK (time=7.2863s)
    Rep 13/100: OK (time=16.4281s)
    Rep 14/100: OK (time=9.6131s)
    Rep 15/100: OK (time=12.6033s)
    Rep 16/100: OK (time=3.5334s)
    Rep 17/100: OK (time=10.8686s)
    Rep 18/100: OK (time=2.2275s)
    Rep 19/100: OK (time=11.8893s)
    Rep 20/100: OK (time=3.4794s)
    Rep 21/100: OK (time=1.1355s)
    Rep 22/100: OK (time=15.6935s)
    Rep 23/100: OK (time=18.2049s)
    Rep 24/100: OK (time=8.9762s)
    Rep 25/100: OK (time=3.5619s)
    Rep 26/100: OK (time=6.1426s)
    Rep 27/100: OK (time=8.7330s)
    Rep 28/100: OK (time=1.5811s)
    Rep 29/100: OK (time=9.1819s)
    Rep 30/100: OK (time=13.8014s)
    Rep 31/100: OK (time=12.0671s)
    Rep 32/100: OK (time=4.0224s)
    Rep 33/100: OK (time=25.9927s)
    Rep 34/100: OK (time=17.7740s)
    Rep 35/100: OK (time=4.8058s)
    Rep 36/100: OK (time=26.3063s)
    Rep 37/100: OK (time=4.2868s)
    Rep 38/100: OK (time=12.1163s)
    Rep 39/100: OK (time=6.2336s)
    Rep 40/100: OK (time=1.6650s)
    Rep 41/100: OK (time=18.7730s)
    Rep 42/100: OK (time=2.7483s)
    Rep 43/100: OK (time=0.5818s)
    Rep 44/100: OK (time=1.7771s)
    Rep 45/100: OK (time=4.7658s)
    Rep 46/100: OK (time=8.1363s)
    Rep 47/100: OK (time=7.6690s)
