
============================================================
worker start: evap=0.01 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: evap
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: BVE (Evaporation Rate of BestPher) (evap)

[Config 1/1] evap=0.01 on 25x25
  [evap=0.01 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 39/100: OK (time=9.4534s)
    Rep 40/100: OK (time=20.4519s)
    Rep 41/100: OK (time=5.4954s)
    Rep 42/100: OK (time=27.8793s)
    Rep 43/100: OK (time=8.4202s)
    Rep 44/100: OK (time=7.3596s)
    Rep 45/100: OK (time=38.4063s)
    Rep 46/100: OK (time=4.0182s)
    Rep 47/100: OK (time=2.3376s)
    Rep 48/100: OK (time=6.7741s)
    Rep 49/100: OK (time=19.3646s)
    Rep 50/100: OK (time=13.4562s)
    Rep 51/100: OK (time=17.6525s)
    Rep 52/100: OK (time=4.3865s)
    Rep 53/100: OK (time=9.6787s)
    Rep 54/100: OK (time=11.3270s)
    Rep 55/100: OK (time=14.2789s)
    Rep 56/100: OK (time=12.0728s)
    Rep 57/100: OK (time=6.2717s)
    Rep 58/100: OK (time=2.8952s)
    Rep 59/100: OK (time=10.1233s)
    Rep 60/100: OK (time=8.8130s)
    Rep 61/100: OK (time=2.1148s)
    Rep 62/100: OK (time=10.5392s)
    Rep 63/100: OK (time=1.4800s)
    Rep 64/100: OK (time=3.1671s)
    Rep 65/100: OK (time=5.7830s)
    Rep 66/100: OK (time=4.9236s)
    Rep 67/100: OK (time=2.2902s)
    Rep 68/100: OK (time=2.9889s)
    Rep 69/100: OK (time=35.2304s)
    Rep 70/100: OK (time=4.7566s)
    Rep 71/100: OK (time=15.3068s)
    Rep 72/100: OK (time=12.2128s)
    Rep 73/100: OK (time=0.8650s)
    Rep 74/100: OK (time=13.3848s)
    Rep 75/100: OK (time=4.4640s)
    Rep 76/100: OK (time=1.7198s)
    Rep 77/100: OK (time=1.2245s)
    Rep 78/100: OK (time=14.3153s)
    Rep 79/100: OK (time=37.9669s)
    Rep 80/100: OK (time=1.8856s)
    Rep 81/100: OK (time=8.3991s)
    Rep 82/100: OK (time=3.0177s)
    Rep 83/100: OK (time=9.9637s)
    Rep 84/100: OK (time=2.2953s)
    Rep 85/100: OK (time=5.8145s)
    Rep 86/100: OK (time=17.2578s)
    Rep 87/100: OK (time=5.5337s)
    Rep 88/100: OK (time=4.8805s)
    Rep 89/100: OK (time=21.4306s)
    Rep 90/100: OK (time=9.3145s)
    Rep 91/100: OK (time=1.9454s)
    Rep 92/100: OK (time=3.5590s)
    Rep 93/100: OK (time=10.3495s)
    Rep 94/100: OK (time=6.2196s)
    Rep 95/100: OK (time=84.1940s)
    Rep 96/100: OK (time=15.0240s)
    Rep 97/100: OK (time=0.6587s)
    Rep 98/100: OK (time=6.0155s)
    Rep 99/100: OK (time=62.9976s)
    Rep 100/100: OK (time=7.5767s)
    => success%=100.0 time_mean=10.378859 cycles_mean=355.97
  [evap=0.01 [25x25]] (3/50) inst25x25_40_62.txt 
    Rep 1/100: OK (time=0.6128s)
    Rep 2/100: OK (time=4.3170s)
    Rep 3/100: OK (time=14.2920s)
    Rep 4/100: OK (time=1.9995s)
    Rep 5/100: OK (time=5.8356s)
    Rep 6/100: OK (time=9.4087s)
    Rep 7/100: OK (time=2.7029s)
    Rep 8/100: OK (time=2.7409s)
    Rep 9/100: OK (time=5.2509s)
    Rep 10/100: OK (time=21.8112s)
    Rep 11/100: OK (time=13.0835s)
    Rep 12/100: OK (time=45.0247s)
    Rep 13/100: OK (time=13.6515s)
    Rep 14/100: OK (time=35.0743s)
    Rep 15/100: OK (time=0.8681s)
    Rep 16/100: OK (time=1.9962s)
    Rep 17/100: OK (time=3.9769s)
    Rep 18/100: OK (time=9.8617s)
    Rep 19/100: OK (time=29.7489s)
    Rep 20/100: OK (time=4.3165s)
    Rep 21/100: OK (time=10.1228s)
    Rep 22/100: OK (time=1.9654s)
    Rep 23/100: OK (time=24.1954s)
    Rep 24/100: OK (time=15.2969s)
    Rep 25/100: OK (time=2.4780s)
    Rep 26/100: OK (time=7.3122s)
