
============================================================
worker start: entropyPct=97.125 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: entropyPct
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Entropy Threshold (% of Max Entropy) (entropyPct)

[Config 1/1] entropyPct=97.125 on 25x25
  [entropyPct=97.125 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 38/100: OK (time=5.0904s)
    Rep 39/100: OK (time=1.4220s)
    Rep 40/100: OK (time=8.4539s)
    Rep 41/100: OK (time=4.2826s)
    Rep 42/100: OK (time=6.8578s)
    Rep 43/100: OK (time=4.3271s)
    Rep 44/100: OK (time=7.8966s)
    Rep 45/100: OK (time=0.9228s)
    Rep 46/100: OK (time=4.6099s)
    Rep 47/100: OK (time=2.4867s)
    Rep 48/100: OK (time=19.4024s)
    Rep 49/100: OK (time=6.6822s)
    Rep 50/100: OK (time=31.2547s)
    Rep 51/100: OK (time=6.6791s)
    Rep 52/100: OK (time=1.3325s)
    Rep 53/100: OK (time=1.7832s)
    Rep 54/100: OK (time=0.8162s)
    Rep 55/100: OK (time=2.2001s)
    Rep 56/100: OK (time=2.8457s)
    Rep 57/100: OK (time=37.2637s)
    Rep 58/100: OK (time=27.3979s)
    Rep 59/100: OK (time=14.7573s)
    Rep 60/100: OK (time=2.7069s)
    Rep 61/100: OK (time=3.2394s)
    Rep 62/100: OK (time=0.5201s)
    Rep 63/100: OK (time=8.1312s)
    Rep 64/100: OK (time=0.4411s)
    Rep 65/100: OK (time=7.3991s)
    Rep 66/100: OK (time=18.3558s)
    Rep 67/100: OK (time=6.1029s)
    Rep 68/100: OK (time=10.3508s)
    Rep 69/100: OK (time=2.3268s)
    Rep 70/100: OK (time=14.8782s)
    Rep 71/100: OK (time=6.5271s)
    Rep 72/100: OK (time=3.2010s)
    Rep 73/100: OK (time=7.4786s)
    Rep 74/100: OK (time=7.9745s)
    Rep 75/100: OK (time=7.5143s)
    Rep 76/100: OK (time=10.2559s)
    Rep 77/100: OK (time=10.1605s)
    Rep 78/100: OK (time=8.9168s)
    Rep 79/100: OK (time=8.3956s)
    Rep 80/100: OK (time=4.6128s)
    Rep 81/100: OK (time=3.7443s)
    Rep 82/100: OK (time=7.4277s)
    Rep 83/100: OK (time=4.6448s)
    Rep 84/100: OK (time=7.6777s)
    Rep 85/100: OK (time=4.0878s)
    Rep 86/100: OK (time=3.9219s)
    Rep 87/100: OK (time=1.7434s)
